best_x,best_y,best_combined,pairs_lt_80,pairs_lt_90,pairs_lt_95,pairs_lt_98,pairs_lt_100,cost_10,slip_10,cost_50,slip_50,cost_100,slip_100,cost_250,slip_250,ts,asset,combo,secs_to_close,kalshi_ticker,okx_inst
0.11,0.999,1.109,0.0,0.0,0.0,0.0,0.0,1.109,0.0,1.114,0.5,1.1165,0.75,,INSUFFICIENT,2026-09-21T11:07:05+00:00,SOL,A,474,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.9,0.16,1.06,0.0,0.0,0.0,0.0,0.0,1.4695,40.95,1.7846,72.46,1.8383,77.83,1.8708,81.08,2026-09-21T11:07:05+00:00,SOL,B,474,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.21,0.93,1.14,0.0,0.0,0.0,0.0,0.0,1.1972,5.72,1.1986,5.86,1.1988,5.88,1.1989,5.89,2026-09-21T11:07:26+00:00,BTC,A,453,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.8,0.26,1.06,0.0,0.0,0.0,0.0,0.0,1.6405,58.05,1.7483,68.83,1.7686,70.86,1.7809,72.09,2026-09-21T11:07:26+00:00,BTC,B,453,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.2,0.99,1.19,0.0,0.0,0.0,0.0,0.0,1.19,0.0,1.1973,0.73,1.2028,1.28,1.2071,1.71,2026-09-21T11:07:26+00:00,ETH,A,453,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.81,0.99,1.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.8,0.0,1.802,0.2,1.8068,0.68,2026-09-21T11:07:26+00:00,ETH,B,453,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.14,0.999,1.139,0.0,0.0,0.0,0.0,0.0,1.139,0.0,1.1468,0.78,1.1479,0.89,,INSUFFICIENT,2026-09-21T11:07:26+00:00,SOL,A,453,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.87,0.18,1.05,0.0,0.0,0.0,0.0,0.0,1.4415,39.15,1.755,70.5,1.8085,75.85,1.8408,79.08,2026-09-21T11:07:26+00:00,SOL,B,453,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.23,0.88,1.11,0.0,0.0,0.0,0.0,0.0,1.2128,10.28,1.2178,10.78,1.2184,10.84,1.2188,10.88,2026-09-21T11:07:48+00:00,BTC,A,431,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.78,0.29,1.07,0.0,0.0,0.0,0.0,0.0,1.6235,55.35,1.7289,65.89,1.7489,67.89,1.761,69.1,2026-09-21T11:07:48+00:00,BTC,B,431,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.24,0.99,1.23,0.0,0.0,0.0,0.0,0.0,1.23,0.0,1.23,0.0,1.23,0.0,1.23,0.0,2026-09-21T11:07:48+00:00,ETH,A,431,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.77,0.99,1.76,0.0,0.0,0.0,0.0,0.0,1.76,0.0,1.76,0.0,1.76,0.0,1.76,0.0,2026-09-21T11:07:48+00:00,ETH,B,431,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.16,0.999,1.159,0.0,0.0,0.0,0.0,0.0,1.159,0.0,1.167,0.8,1.168,0.9,,INSUFFICIENT,2026-09-21T11:07:48+00:00,SOL,A,431,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.85,0.23,1.08,0.0,0.0,0.0,0.0,0.0,1.4265,34.65,1.736,65.6,1.789,70.9,1.8259,74.59,2026-09-21T11:07:48+00:00,SOL,B,431,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.29,0.77,1.06,0.0,0.0,0.0,0.0,0.0,1.2616,20.16,1.2795,21.95,1.2843,22.43,1.2871,22.71,2026-09-21T11:08:09+00:00,BTC,A,410,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.72,0.42,1.14,0.0,0.0,0.0,0.0,0.0,1.5765,43.65,1.6715,53.15,1.6902,55.02,1.7015,56.15,2026-09-21T11:08:09+00:00,BTC,B,410,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.25,0.99,1.24,0.0,0.0,0.0,0.0,0.0,1.24,0.0,1.24,0.0,1.2434,0.34,1.2474,0.74,2026-09-21T11:08:09+00:00,ETH,A,410,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.76,0.99,1.75,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.75,0.0,1.7531,0.31,1.7575,0.75,2026-09-21T11:08:09+00:00,ETH,B,410,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.17,0.987,1.157,0.0,0.0,0.0,0.0,0.0,1.1769,1.99,1.1786,2.16,1.1788,2.18,,INSUFFICIENT,2026-09-21T11:08:09+00:00,SOL,A,410,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.84,0.26,1.1,0.0,0.0,0.0,0.0,0.0,1.4195,31.95,1.7266,62.66,1.7793,67.93,1.8119,71.19,2026-09-21T11:08:09+00:00,SOL,B,410,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
